"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.549259779E2,6.500756519E1,2.548220454E1,-1.046386051E1,1.769999981E0,2.998999939E2,2.500000000E0,1.000000000E2
2.559166005E2,6.500757014E1,2.548216707E1,-1.046386482E1,1.939999938E0,2.995000000E2,2.500000000E0,1.000000000E2
2.569192218E2,6.500757668E1,2.548212592E1,-1.046386997E1,1.839999914E0,3.042999878E2,2.500000000E0,1.000000000E2
2.579233862E2,6.500758217E1,2.548209272E1,-1.046387420E1,1.620000005E0,3.043999939E2,2.500000000E0,1.000000000E2
2.589272757E2,6.500758619E1,2.548205400E1,-1.046387826E1,1.779999971E0,3.000000000E2,2.500000000E0,1.000000000E2
2.599230755E2,6.500759013E1,2.548201620E1,-1.046388223E1,1.659999967E0,2.973999939E2,2.500000000E0,1.000000000E2
2.609350649E2,6.500759478E1,2.548198133E1,-1.046388627E1,1.569999933E0,3.027000122E2,2.500000000E0,1.000000000E2
2.619073834E2,6.500760228E1,2.548194755E1,-1.046389128E1,1.750000000E0,3.028999939E2,2.500000000E0,1.000000000E2
2.628648168E2,6.500760727E1,2.548191427E1,-9.463895338E0,1.589999914E0,3.011000061E2,3.000000000E0,1.000000000E2
2.639249495E2,6.500761498E1,2.548187697E1,-9.463900667E0,1.689999938E0,2.997999878E2,2.500000000E0,1.000000000E2
2.649658095E2,6.500762274E1,2.548184093E1,-1.046390593E1,1.579999924E0,2.978999939E2,3.000000000E0,1.000000000E2
2.659165254E2,6.500763082E1,2.548180891E1,-1.046391105E1,1.659999967E0,2.971000061E2,2.500000000E0,1.000000000E2
2.669023841E2,6.500763862E1,2.548178192E1,-1.046391572E1,1.579999924E0,2.980000000E2,3.000000000E0,1.000000000E2
2.679296193E2,6.500764444E1,2.548174571E1,-1.046392028E1,1.519999981E0,3.007999878E2,2.500000000E0,1.000000000E2
2.689111522E2,6.500765027E1,2.548171260E1,-1.046392464E1,1.689999938E0,3.010000000E2,2.500000000E0,1.000000000E2
2.699115454E2,6.500765865E1,2.548168042E1,-1.046392988E1,1.589999914E0,3.055000000E2,2.500000000E0,1.000000000E2
2.709251122E2,6.500766389E1,2.548164781E1,-1.046393398E1,1.589999914E0,3.078999939E2,2.500000000E0,1.000000000E2
2.719196847E2,6.500767181E1,2.548161621E1,-1.046393901E1,1.659999967E0,3.072000122E2,2.500000000E0,1.000000000E2
2.729277835E2,6.500768015E1,2.548158176E1,-1.046394439E1,1.779999971E0,3.053999939E2,2.500000000E0,1.000000000E2
2.738796569E2,6.500768606E1,2.548154547E1,-1.046394899E1,1.699999928E0,3.048999939E2,2.500000000E0,1.000000000E2
2.749067067E2,6.500769398E1,2.548151035E1,-1.046395425E1,1.709999919E0,3.043999939E2,2.500000000E0,1.000000000E2
2.759398178E2,6.500770031E1,2.548147908E1,-1.046395867E1,1.709999919E0,3.036000061E2,2.500000000E0,1.000000000E2
2.769116614E2,6.500770601E1,2.548144497E1,-1.146396305E1,1.730000019E0,3.026000061E2,2.500000000E0,1.000000000E2
2.778863665E2,6.500771288E1,2.548140650E1,-1.146396816E1,1.649999976E0,3.025000000E2,2.500000000E0,1.000000000E2
2.789260136E2,6.500771942E1,2.548137280E1,-1.046397282E1,1.709999919E0,3.013999939E2,3.000000000E0,1.000000000E2
2.799026595E2,6.500772583E1,2.548133676E1,-1.046397759E1,1.610000014E0,3.012999878E2,3.000000000E0,1.000000000E2
2.809242453E2,6.500773266E1,2.548130105E1,-1.046398249E1,1.610000014E0,3.015000000E2,3.000000000E0,1.000000000E2
2.819275788E2,6.500774012E1,2.548126602E1,-1.046398759E1,1.799999952E0,3.003999939E2,2.500000000E0,1.000000000E2
2.829204158E2,6.500774725E1,2.548122712E1,-1.046399281E1,1.849999905E0,3.002000122E2,2.500000000E0,1.000000000E2
2.839016677E2,6.500775421E1,2.548118966E1,-1.046399788E1,1.719999909E0,3.015000000E2,2.500000000E0,1.000000000E2
2.849065219E2,6.500776079E1,2.548115093E1,-1.046400290E1,1.629999995E0,3.031000061E2,2.500000000E0,1.000000000E2
2.859301304E2,6.500776753E1,2.548111632E1,-1.046400770E1,1.629999995E0,3.037000122E2,2.500000000E0,1.000000000E2
2.869203508E2,6.500777533E1,2.548107776E1,-9.464013153E0,1.829999924E0,3.001000061E2,2.500000000E0,1.000000000E2
2.879330856E2,6.500778115E1,2.548104415E1,-9.464017548E0,1.669999957E0,3.010000000E2,2.500000000E0,1.000000000E2
2.889269067E2,6.500778962E1,2.548100634E1,-1.046402320E1,1.699999928E0,3.017000122E2,2.500000000E0,1.000000000E2
2.899217840E2,6.500779695E1,2.548097298E1,-1.046402814E1,1.569999933E0,3.037000122E2,2.500000000E0,1.000000000E2
2.909207165E2,6.500780521E1,2.548093761E1,-1.046403355E1,1.740000010E0,2.997000122E2,3.000000000E0,1.000000000E2
2.919103070E2,6.500781259E1,2.548090710E1,-1.046403832E1,1.339999914E0,2.986000061E2,3.000000000E0,1.000000000E2
2.929276035E2,6.500781933E1,2.548088011E1,-1.046404262E1,1.439999938E0,3.025000000E2,3.000000000E0,1.000000000E2
2.938933579E2,6.500782792E1,2.548085094E1,-1.046404774E1,1.509999990E0,3.081000061E2,3.000000000E0,1.000000000E2
2.949186879E2,6.500783476E1,2.548082890E1,-1.046405174E1,8.100000024E-1,3.117000122E2,3.000000000E0,1.000000000E2
2.959303546E2,6.500783794E1,2.548080862E1,-1.046405427E1,1.039999962E0,3.127999878E2,3.000000000E0,1.000000000E2
2.968861334E2,6.500784733E1,2.548078188E1,-1.046405953E1,1.809999943E0,3.122999878E2,3.000000000E0,1.000000000E2
2.979065166E2,6.500785357E1,2.548075070E1,-1.046406392E1,2.019999981E0,3.041000061E2,3.500000000E0,1.000000000E2
2.989095387E2,6.500785450E1,2.548069621E1,-1.046406790E1,2.240000010E0,2.861000061E2,4.000000000E0,1.000000000E2
2.998908609E2,6.500785349E1,2.548065162E1,-1.046407050E1,2.069999933E0,2.743999939E2,4.500000000E0,1.000000000E2
3.009058850E2,6.500784657E1,2.548060276E1,-1.046407120E1,2.500000000E0,2.597999878E2,4.500000000E0,1.000000000E2
3.019179448E2,6.500783828E1,2.548054953E1,-1.046407167E1,2.679999828E0,2.503000031E2,5.500000000E0,1.000000000E2
3.029083117E2,6.500783061E1,2.548049094E1,-1.046407274E1,2.750000000E0,2.451000061E2,5.500000000E0,1.000000000E2
3.039010233E2,6.500782780E1,2.548044769E1,-1.046407458E1,2.490000010E0,2.435000000E2,6.000000000E0,1.000000000E2
3.049014146E2,6.500782327E1,2.548040209E1,-1.046407594E1,2.230000019E0,2.375000000E2,7.000000000E0,1.000000000E2
3.059149571E2,6.500781611E1,2.548035147E1,-1.046407666E1,2.379999876E0,2.321999969E2,8.500000000E0,1.000000000E2
3.068979187E2,6.500781259E1,2.548030176E1,-1.046407867E1,2.429999828E0,2.280000000E2,9.500000000E0,1.000000000E2
3.078973220E2,6.500781271E1,2.548027268E1,-1.046408065E1,1.990000010E0,2.371999969E2,1.050000000E1,1.000000000E2
3.089056226E2,6.500783878E1,2.548027771E1,-1.046408998E1,1.389999986E0,2.508000031E2,1.050000000E1,1.000000000E2
3.098963878E2,6.500785747E1,2.548026723E1,-1.046409761E1,1.509999990E0,2.738999939E2,1.100000000E1,1.000000000E2
3.109196450E2,6.500786426E1,2.548023789E1,-1.046410209E1,1.439999938E0,2.857999878E2,1.250000000E1,1.000000000E2
3.119065124E2,6.500786891E1,2.548019858E1,-1.046410643E1,1.740000010E0,2.907999878E2,1.300000000E1,1.000000000E2
3.128947469E2,6.500788056E1,2.548016413E1,-1.046411305E1,2.059999943E0,2.961000061E2,1.200000000E1,1.000000000E2
3.138874239E2,6.500789473E1,2.548013228E1,-1.046412043E1,1.870000005E0,3.031000061E2,1.300000000E1,1.000000000E2
3.148882020E2,6.500790965E1,2.548007864E1,-1.046412955E1,2.419999838E0,3.050000000E2,1.300000000E1,1.000000000E2
3.158494268E2,6.500792562E1,2.548001083E1,-1.046414000E1,3.059999943E0,3.040000000E2,1.250000000E1,1.000000000E2
3.168905177E2,6.500794795E1,2.547996070E1,-1.046415163E1,3.059999943E0,3.071000061E2,1.200000000E1,1.000000000E2
3.178752149E2,6.500797029E1,2.547989901E1,-1.046416404E1,3.569999933E0,3.077000122E2,1.250000000E1,1.000000000E2
3.188782298E2,6.500798529E1,2.547984713E1,-1.046417308E1,3.179999828E0,3.078999939E2,1.400000000E1,1.000000000E2
3.198755435E2,6.500799330E1,2.547979927E1,-1.046417924E1,2.809999943E0,3.052000122E2,1.300000000E1,1.000000000E2
3.208609732E2,6.500801270E1,2.547977295E1,-1.046418821E1,2.490000010E0,3.078999939E2,1.300000000E1,1.000000000E2
3.218858317E2,6.500802385E1,2.547972727E1,-1.046419540E1,2.529999971E0,3.038999939E2,1.200000000E1,1.000000000E2
3.228870961E2,6.500803676E1,2.547969114E1,-1.046420261E1,2.269999981E0,3.027999878E2,1.250000000E1,1.000000000E2
3.238794863E2,6.500804179E1,2.547966893E1,-1.046420596E1,1.639999986E0,3.000000000E2,1.200000000E1,1.000000000E2
3.248945732E2,6.500806459E1,2.547965736E1,-1.046421520E1,1.659999967E0,2.987999878E2,1.200000000E1,1.000000000E2
3.259122829E2,6.500808776E1,2.547963465E1,-1.146422532E1,1.990000010E0,3.045000000E2,1.150000000E1,1.000000000E2
3.268849148E2,6.500811153E1,2.547961671E1,-1.146423535E1,1.620000005E0,3.021000061E2,1.050000000E1,1.000000000E2
3.278899095E2,6.500812988E1,2.547960556E1,-1.146424291E1,1.299999952E0,2.997000122E2,9.500000000E0,1.000000000E2
3.288797577E2,6.500815168E1,2.547958377E1,-1.146425246E1,1.779999971E0,3.007999878E2,7.500000000E0,1.000000000E2
3.299022148E2,6.500816509E1,2.547956130E1,-1.146425895E1,1.889999986E0,3.005000000E2,7.000000000E0,1.000000000E2
3.309245147E2,6.500818357E1,2.547958796E1,-1.146426403E1,2.009999990E0,3.047000122E2,6.500000000E0,1.000000000E2
3.318649147E2,6.500818244E1,2.547953825E1,-1.146426694E1,1.809999943E0,3.062999878E2,6.500000000E0,1.000000000E2
3.328902203E2,6.500818642E1,2.547951277E1,-1.146427012E1,1.679999948E0,3.110000000E2,5.500000000E0,1.000000000E2
3.339105389E2,6.500819597E1,2.547951529E1,-1.146427350E1,1.860000014E0,3.092000122E2,5.500000000E0,1.000000000E2
3.348870893E2,6.500820947E1,2.547950900E1,-1.146427894E1,1.730000019E0,3.181000061E2,5.000000000E0,1.000000000E2
3.359042124E2,6.500821596E1,2.547948654E1,-1.146428285E1,1.679999948E0,3.173999939E2,4.000000000E0,1.000000000E2
3.369065863E2,6.500822724E1,2.547946173E1,-1.146428870E1,1.769999981E0,3.166000061E2,4.000000000E0,1.000000000E2
3.379002664E2,6.500824073E1,2.547943784E1,-1.146429532E1,2.190000057E0,3.147999878E2,4.000000000E0,1.000000000E2
3.389243953E2,6.500825502E1,2.547939442E1,-1.246430354E1,2.319999933E0,3.125000000E2,4.000000000E0,1.000000000E2
3.399038941E2,6.500826504E1,2.547936316E1,-1.146430936E1,2.329999924E0,3.106000061E2,4.000000000E0,1.000000000E2
3.409019619E2,6.500827610E1,2.547932494E1,-1.246431603E1,2.269999981E0,3.086000061E2,4.000000000E0,1.000000000E2
3.418691014E2,6.500828918E1,2.547928319E1,-1.146432369E1,2.180000067E0,3.073999939E2,4.000000000E0,1.000000000E2
3.429015677E2,6.500830092E1,2.547924019E1,-1.246433093E1,2.029999971E0,3.127000122E2,3.500000000E0,1.000000000E2
3.439284741E2,6.500831470E1,2.547921790E1,-1.146433755E1,2.069999933E0,3.162000122E2,4.000000000E0,1.000000000E2
3.449105049E2,6.500833059E1,2.547918881E1,-1.146434541E1,2.049999952E0,3.178999939E2,3.500000000E0,1.000000000E2
3.459152039E2,6.500834178E1,2.547915294E1,-1.146435198E1,1.939999938E0,3.173999939E2,3.500000000E0,1.000000000E2
3.468965912E2,6.500835460E1,2.547911472E1,-1.146435931E1,2.289999962E0,3.152999878E2,3.500000000E0,1.000000000E2
3.478947594E2,6.500836659E1,2.547907465E1,-1.046436646E1,2.109999895E0,3.157999878E2,3.500000000E0,1.000000000E2
3.488960806E2,6.500837832E1,2.547903785E1,-1.046437329E1,2.129999876E0,3.121000061E2,3.500000000E0,1.000000000E2
3.499059658E2,6.500838737E1,2.547900215E1,-1.046437905E1,2.240000010E0,3.167999878E2,3.000000000E0,1.000000000E2
3.509228832E2,6.500840120E1,2.547896644E1,-1.046438659E1,2.099999905E0,3.220000000E2,3.000000000E0,1.000000000E2
3.518943771E2,6.500841420E1,2.547892914E1,-1.046439393E1,1.959999919E0,3.126000061E2,3.000000000E0,1.000000000E2
3.529131052E2,6.500842685E1,2.547889142E1,-9.464401174E0,2.019999981E0,3.120000000E2,3.000000000E0,1.000000000E2
3.539077397E2,6.500843951E1,2.547885186E1,-1.046440854E1,1.899999976E0,3.117000122E2,3.000000000E0,1.000000000E2
3.549184001E2,6.500845032E1,2.547882001E1,-1.046441470E1,1.730000019E0,3.152000122E2,3.000000000E0,1.000000000E2
3.559142646E2,6.500846285E1,2.547878883E1,-1.046442146E1,1.629999995E0,3.197999878E2,3.000000000E0,1.000000000E2
3.569320609E2,6.500847635E1,2.547876150E1,-1.046442832E1,1.819999933E0,3.287999878E2,3.000000000E0,1.000000000E2
3.578789434E2,6.500848896E1,2.547873829E1,-1.146443457E1,1.789999962E0,3.322000122E2,3.000000000E0,1.000000000E2
3.589034161E2,6.500850346E1,2.547871406E1,-1.146444160E1,1.519999981E0,3.277000122E2,3.000000000E0,1.000000000E2
3.599092712E2,6.500851055E1,2.547868062E1,-1.146444648E1,1.429999948E0,3.107999878E2,3.000000000E0,1.000000000E2
3.609079271E2,6.500851625E1,2.547864650E1,-1.146445090E1,1.429999948E0,3.062000122E2,3.000000000E0,1.000000000E2
3.619219679E2,6.500852375E1,2.547861239E1,-1.146445599E1,1.649999976E0,3.043999939E2,3.000000000E0,1.000000000E2
3.629066462E2,6.500852941E1,2.547857844E1,-1.146446037E1,1.769999981E0,3.033999939E2,3.000000000E0,1.000000000E2
3.638959968E2,6.500854043E1,2.547854165E1,-1.246446695E1,1.819999933E0,3.086000061E2,2.500000000E0,1.000000000E2
3.649338111E2,6.500855149E1,2.547851231E1,-1.246447305E1,1.539999962E0,3.113999939E2,3.000000000E0,1.000000000E2
3.659266106E2,6.500856302E1,2.547847727E1,-1.246447969E1,1.559999943E0,3.190000000E2,3.000000000E0,1.000000000E2
3.669118913E2,6.500857148E1,2.547844911E1,-1.346448474E1,1.689999938E0,3.151000061E2,3.000000000E0,1.000000000E2
3.679262644E2,6.500858230E1,2.547842195E1,-1.346449060E1,1.639999986E0,3.133999939E2,3.000000000E0,1.000000000E2
3.688805128E2,6.500859520E1,2.547839052E1,-1.346449752E1,1.679999948E0,3.158999939E2,3.000000000E0,1.000000000E2
3.699247320E2,6.500860794E1,2.547836646E1,-1.446450388E1,1.639999986E0,3.241000061E2,3.000000000E0,1.000000000E2
3.709305200E2,6.500862056E1,2.547834274E1,-1.446451018E1,1.629999995E0,3.242000122E2,2.500000000E0,1.000000000E2
3.719368261E2,6.500862898E1,2.547831098E1,-1.546451546E1,1.689999938E0,3.180000000E2,3.000000000E0,1.000000000E2
3.729146071E2,6.500863959E1,2.547828281E1,-1.546452130E1,1.740000010E0,3.175000000E2,3.000000000E0,1.000000000E2
3.739162792E2,6.500864935E1,2.547824744E1,-1.546452732E1,1.839999914E0,3.147000122E2,3.000000000E0,1.000000000E2
3.749079945E2,6.500866088E1,2.547821215E1,-1.646453399E1,1.659999967E0,3.142000122E2,3.000000000E0,1.000000000E2
3.759175591E2,6.500867232E1,2.547818013E1,-1.646454042E1,1.610000014E0,3.185000000E2,3.000000000E0,1.000000000E2
3.769279883E2,6.500868363E1,2.547815097E1,-1.646454660E1,1.649999976E0,3.173999939E2,3.000000000E0,1.000000000E2
3.778935630E2,6.500869319E1,2.547811626E1,-1.646455250E1,1.610000014E0,3.137999878E2,3.000000000E0,1.000000000E2
3.789449241E2,6.500870249E1,2.547808651E1,-1.646455797E1,1.829999924E0,3.163999939E2,3.000000000E0,1.000000000E2
3.799261803E2,6.500871402E1,2.547805147E1,-1.746456463E1,1.990000010E0,3.155000000E2,3.000000000E0,1.000000000E2
3.808889183E2,6.500872261E1,2.547802004E1,-1.746456995E1,1.789999962E0,3.195000000E2,3.000000000E0,1.000000000E2
3.819097744E2,6.500873363E1,2.547798995E1,-1.746457609E1,1.719999909E0,3.217999878E2,3.000000000E0,1.000000000E2
3.829115616E2,6.500874453E1,2.547796413E1,-1.746458189E1,1.679999948E0,3.192000122E2,3.000000000E0,1.000000000E2
3.839005912E2,6.500875446E1,2.547793454E1,-1.746458759E1,1.829999924E0,3.208999939E2,3.000000000E0,1.000000000E2
3.849048515E2,6.500876452E1,2.547790035E1,-1.746459364E1,1.939999938E0,3.151000061E2,3.000000000E0,1.000000000E2
3.859159515E2,6.500877718E1,2.547786095E1,-1.746460102E1,1.879999995E0,3.152000122E2,3.000000000E0,1.000000000E2
3.869102840E2,6.500878891E1,2.547782541E1,-1.746460780E1,1.759999990E0,3.167000122E2,3.000000000E0,1.000000000E2
3.879083784E2,6.500879997E1,2.547779708E1,-1.846461383E1,1.610000014E0,3.183999939E2,3.000000000E0,1.000000000E2
3.889233159E2,6.500881070E1,2.547776573E1,-1.846461995E1,1.769999981E0,3.187000122E2,3.000000000E0,1.000000000E2
3.899376627E2,6.500882038E1,2.547772751E1,-1.846462614E1,1.759999990E0,3.112999878E2,3.000000000E0,1.000000000E2
3.909177246E2,6.500882893E1,2.547769155E1,-1.946463176E1,1.799999952E0,3.165000000E2,3.000000000E0,1.000000000E2
3.919197602E2,6.500884033E1,2.547765392E1,-1.846463855E1,1.730000019E0,3.170000000E2,3.000000000E0,1.000000000E2
3.929083583E2,6.500885161E1,2.547761989E1,-1.946464506E1,1.919999957E0,3.211000061E2,3.000000000E0,1.000000000E2
3.939438605E2,6.500886389E1,2.547757898E1,-1.946465240E1,1.829999924E0,3.192000122E2,3.000000000E0,1.000000000E2
3.948997701E2,6.500887562E1,2.547753791E1,-1.946465955E1,1.829999924E0,3.151000061E2,3.000000000E0,1.000000000E2
3.958853081E2,6.500888719E1,2.547750120E1,-1.946466635E1,1.879999995E0,3.158999939E2,3.000000000E0,1.000000000E2
3.969067935E2,6.500889691E1,2.547746440E1,-2.046467247E1,1.879999995E0,3.132000122E2,3.000000000E0,1.000000000E2
3.979021823E2,6.500890471E1,2.547742166E1,-2.046467826E1,1.779999971E0,3.097000122E2,3.500000000E0,1.000000000E2
3.989352363E2,6.500891451E1,2.547738126E1,-2.046468466E1,1.839999914E0,3.067999878E2,3.000000000E0,1.000000000E2
3.999244756E2,6.500892323E1,2.547733759E1,-2.046469086E1,1.860000014E0,3.020000000E2,3.000000000E0,1.000000000E2
4.009260427E2,6.500893019E1,2.547729794E1,-2.046469614E1,1.709999919E0,3.077999878E2,3.000000000E0,1.000000000E2
4.019157035E2,6.500893689E1,2.547726030E1,-2.046470119E1,1.589999914E0,3.110000000E2,3.000000000E0,1.000000000E2
4.029274137E2,6.500894410E1,2.547722217E1,-2.046470646E1,1.379999995E0,3.126000061E2,3.000000000E0,1.000000000E2
4.039039953E2,6.500894947E1,2.547718596E1,-2.046471091E1,1.449999928E0,3.136000061E2,3.500000000E0,1.000000000E2
4.049140584E2,6.500895575E1,2.547714824E1,-2.046471581E1,1.759999990E0,3.057999878E2,3.000000000E0,1.000000000E2
4.059189407E2,6.500896262E1,2.547710884E1,-2.046472104E1,1.779999971E0,3.026000061E2,3.000000000E0,1.000000000E2
4.069298177E2,6.500897197E1,2.547706760E1,-2.046472732E1,1.969999909E0,3.056000061E2,3.000000000E0,1.000000000E2
4.079173174E2,6.500898207E1,2.547702419E1,-2.046473403E1,1.979999900E0,3.097000122E2,3.000000000E0,1.000000000E2
4.089062870E2,6.500899276E1,2.547698027E1,-2.046474099E1,1.899999976E0,3.102999878E2,3.500000000E0,1.000000000E2
4.099150457E2,6.500900273E1,2.547694397E1,-2.046474718E1,1.849999905E0,3.120000000E2,3.000000000E0,1.000000000E2
4.108720894E2,6.500901346E1,2.547690634E1,-2.046475373E1,1.860000014E0,3.105000000E2,3.000000000E0,1.000000000E2
4.119488042E2,6.500902256E1,2.547686912E1,-2.046475965E1,1.529999971E0,3.098999939E2,3.500000000E0,1.000000000E2
4.129142379E2,6.500903203E1,2.547683802E1,-2.046476529E1,1.529999971E0,3.187000122E2,3.000000000E0,1.000000000E2
4.139021210E2,6.500904301E1,2.547681338E1,-2.046477107E1,1.539999962E0,3.220000000E2,3.000000000E0,1.000000000E2
4.148982337E2,6.500905315E1,2.547678312E1,-2.046477691E1,1.689999938E0,3.210000000E2,3.000000000E0,1.000000000E2
4.159075588E2,6.500906560E1,2.547675270E1,-1.946478362E1,1.750000000E0,3.182000122E2,3.000000000E0,1.000000000E2
4.169015855E2,6.500907754E1,2.547672152E1,-2.046479020E1,1.740000010E0,3.191000061E2,3.000000000E0,1.000000000E2
4.179161126E2,6.500908915E1,2.547668346E1,-2.046479711E1,1.879999995E0,3.177999878E2,3.000000000E0,1.000000000E2
4.189090551E2,6.500910088E1,2.547664977E1,-2.046480378E1,1.889999986E0,3.142000122E2,3.000000000E0,1.000000000E2
4.199160735E2,6.500911262E1,2.547661884E1,-2.046481027E1,1.639999986E0,3.146000061E2,3.000000000E0,1.000000000E2
4.209114207E2,6.500912414E1,2.547658615E1,-2.046481679E1,1.719999909E0,3.172999878E2,3.000000000E0,1.000000000E2
4.218911877E2,6.500913605E1,2.547655849E1,-2.046482312E1,1.789999962E0,3.187000122E2,3.000000000E0,1.000000000E2
4.229075398E2,6.500914434E1,2.547652865E1,-2.046482824E1,1.599999905E0,3.166000061E2,3.000000000E0,1.000000000E2
4.239170339E2,6.500915382E1,2.547649805E1,-2.146483386E1,1.750000000E0,3.056000061E2,3.000000000E0,1.000000000E2
4.249116316E2,6.500916228E1,2.547646369E1,-2.146483936E1,1.679999948E0,3.046000061E2,3.000000000E0,1.000000000E2
4.259168545E2,6.500917125E1,2.547643008E1,-2.146484499E1,1.599999905E0,3.027999878E2,3.000000000E0,1.000000000E2
4.268912902E2,6.500918022E1,2.547639747E1,-2.146485056E1,1.759999990E0,3.062999878E2,3.000000000E0,1.000000000E2
4.279241213E2,6.500918956E1,2.547636813E1,-2.146485604E1,1.699999928E0,3.087000122E2,3.000000000E0,1.000000000E2
4.289020810E2,6.500919958E1,2.547633679E1,-2.146486192E1,1.679999948E0,3.147000122E2,3.000000000E0,1.000000000E2
4.299186229E2,6.500921035E1,2.547632027E1,-2.146486707E1,1.469999909E0,3.237999878E2,3.500000000E0,1.000000000E2
4.309525969E2,6.500922091E1,2.547629840E1,-2.146487250E1,1.519999981E0,3.268999939E2,3.500000000E0,1.000000000E2
4.319058852E2,6.500923416E1,2.547627283E1,-2.046487919E1,1.929999948E0,3.342999878E2,3.000000000E0,1.000000000E2
4.329096126E2,6.500924954E1,2.547623763E1,-2.046488734E1,1.799999952E0,3.328999939E2,3.000000000E0,1.000000000E2
4.339391282E2,6.500926282E1,2.547621097E1,-2.046489412E1,1.819999933E0,3.322000122E2,3.500000000E0,1.000000000E2
4.349031829E2,6.500927590E1,2.547617652E1,-2.046490136E1,1.909999967E0,3.270000000E2,3.500000000E0,1.000000000E2
4.359148143E2,6.500929040E1,2.547614057E1,-2.046490922E1,1.919999957E0,3.246000061E2,3.500000000E0,1.000000000E2
4.369005932E2,6.500930209E1,2.547610997E1,-2.046491568E1,1.769999981E0,3.258999939E2,3.000000000E0,1.000000000E2
4.379071411E2,6.500931328E1,2.547608139E1,-2.046492181E1,1.500000000E0,3.280000000E2,3.500000000E0,1.000000000E2
4.388892727E2,6.500932439E1,2.547605616E1,-2.046492768E1,1.689999938E0,3.241000061E2,3.000000000E0,1.000000000E2
4.399302229E2,6.500933771E1,2.547603252E1,-2.046493428E1,1.719999909E0,3.258999939E2,3.500000000E0,1.000000000E2
4.409267190E2,6.500935041E1,2.547600914E1,-2.046494062E1,1.659999967E0,3.201000061E2,3.000000000E0,1.000000000E2
4.419094670E2,6.500936232E1,2.547598022E1,-2.046494704E1,1.809999943E0,3.220000000E2,3.500000000E0,1.000000000E2
4.429210365E2,6.500937434E1,2.547594451E1,-2.046495398E1,1.829999924E0,3.182999878E2,3.500000000E0,1.000000000E2
4.439324200E2,6.500938587E1,2.547591199E1,-2.046496050E1,1.870000005E0,3.172000122E2,3.500000000E0,1.000000000E2
4.449229481E2,6.500939576E1,2.547587838E1,-2.046496649E1,1.669999957E0,3.138999939E2,3.500000000E0,1.000000000E2
4.459063916E2,6.500940569E1,2.547584418E1,-1.946497254E1,1.819999933E0,3.152999878E2,3.500000000E0,1.000000000E2
4.469289957E2,6.500941709E1,2.547580772E1,-1.946497929E1,1.909999967E0,3.176000061E2,3.500000000E0,1.000000000E2
4.479109255E2,6.500942975E1,2.547577470E1,-1.946498628E1,1.709999919E0,3.193999939E2,3.500000000E0,1.000000000E2
4.489138673E2,6.500944211E1,2.547575039E1,-1.946499256E1,1.839999914E0,3.247000122E2,3.500000000E0,1.000000000E2
4.499142376E2,6.500945200E1,2.547572549E1,-1.946499796E1,1.699999928E0,3.247000122E2,3.500000000E0,1.000000000E2
4.509158930E2,6.500946353E1,2.547569892E1,-1.946500409E1,1.719999909E0,3.212999878E2,3.500000000E0,1.000000000E2
4.519329211E2,6.500947514E1,2.547566774E1,-1.946501056E1,1.809999943E0,3.172999878E2,3.500000000E0,1.000000000E2
4.529280836E2,6.500948461E1,2.547563639E1,-2.046501625E1,1.779999971E0,3.198999939E2,3.500000000E0,1.000000000E2
4.539161588E2,6.500949689E1,2.547560832E1,-2.046502276E1,1.750000000E0,3.240000000E2,3.500000000E0,1.000000000E2
4.549202375E2,6.500951063E1,2.547558133E1,-2.046502975E1,1.779999971E0,3.280000000E2,3.000000000E0,1.000000000E2
4.559255288E2,6.500952216E1,2.547555274E1,-2.046503602E1,1.549999952E0,3.220000000E2,3.500000000E0,1.000000000E2
4.569330333E2,6.500953109E1,2.547552316E1,-2.046504138E1,1.419999957E0,3.237000122E2,3.000000000E0,1.000000000E2
4.579018560E2,6.500954010E1,2.547549751E1,-2.046504650E1,9.399999976E-1,3.298999939E2,3.500000000E0,1.000000000E2
4.589172733E2,6.500954626E1,2.547548862E1,-2.046504942E1,4.899999797E-1,3.325000000E2,3.000000000E0,1.000000000E2
4.599342219E2,6.500954869E1,2.547548234E1,-2.046505076E1,7.000000030E-2,3.333999939E2,2.500000000E0,1.000000000E2
4.609085711E2,6.500954760E1,2.547547756E1,-2.046505068E1,8.999999613E-2,3.338999939E2,3.000000000E0,1.000000000E2
4.619362254E2,6.500954797E1,2.547547278E1,-2.146505114E1,5.999999866E-2,3.342000122E2,3.500000000E0,1.000000000E2
4.629202634E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
4.639146807E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
4.649185825E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
4.659127272E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
4.669230890E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
4.679097176E2,6.500954860E1,2.547546398E1,-2.146505198E1,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
