"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.386302748E1,6.500899640E1,2.548463940E1,-3.246422410E1,2.800000012E-1,1.593999939E2,3.200000000E1,1.000000000E2
8.645371043E1,6.500913070E1,2.548501030E1,1.573575250E1,NaN,NaN,3.440000153E1,2.878788948E0
8.690537917E1,6.500905742E1,2.548472472E1,1.253575928E1,1.099999994E-1,0.000000000E0,8.500000000E0,1.000000000E2
8.787229248E1,6.500891569E1,2.548483746E1,2.453581892E1,2.399999946E-1,0.000000000E0,1.450000000E1,1.000000000E2
8.888672659E1,6.500901266E1,2.548474434E1,1.353577703E1,3.999999911E-2,0.000000000E0,1.450000000E1,1.000000000E2
9.092719394E1,6.500912310E1,2.548466370E1,8.535731039E0,1.099999994E-1,0.000000000E0,1.500000000E1,1.000000000E2
9.190910463E1,6.500906174E1,2.548462900E1,1.253575121E1,5.999999866E-2,0.000000000E0,9.000000000E0,1.000000000E2
9.222408705E1,6.500904322E1,2.548463336E1,1.253575831E1,1.700000018E-1,0.000000000E0,9.000000000E0,1.000000000E2
9.390564032E1,6.500909929E1,2.548466345E1,8.535739760E0,7.000000030E-2,2.429999924E1,4.500000000E0,1.000000000E2
9.490180059E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
9.591836762E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
9.690390762E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
9.790171285E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
9.890427047E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
9.990527285E1,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
1.008960563E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.500000000E0,1.000000000E2
1.018732302E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.029095562E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.039281968E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.048615594E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.058646959E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.068471549E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.078828719E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.088817617E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.099050542E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.109353928E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.119121497E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.129183283E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.139099084E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.149199184E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,4.000000000E0,1.000000000E2
1.159092601E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.500000000E0,1.000000000E2
1.168997857E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.179121268E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.189152523E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.198979954E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.209213854E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.218689267E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.228475547E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.239106881E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,2.500000000E0,1.000000000E2
1.249173114E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,2.500000000E0,1.000000000E2
1.259157621E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.269051486E2,6.500909996E1,2.548466513E1,8.535739627E0,0.000000000E0,0.000000000E0,3.000000000E0,1.000000000E2
1.279292931E2,6.500909766E1,2.548466597E1,8.535740530E0,7.699999809E-1,2.428999939E2,3.000000000E0,1.000000000E2
1.289334590E2,6.500908890E1,2.548465054E1,8.535742701E0,1.059999943E0,2.331999969E2,3.000000000E0,1.000000000E2
1.299294141E2,6.500907771E1,2.548463286E1,8.535745610E0,1.549999952E0,2.213000031E2,3.000000000E0,1.000000000E2
1.309277702E2,6.500906534E1,2.548461475E1,8.535748923E0,1.459999919E0,2.171000061E2,3.000000000E0,1.000000000E2
1.319031939E2,6.500905202E1,2.548459648E1,8.535752578E0,1.399999976E0,2.171000061E2,3.000000000E0,1.000000000E2
1.329082242E2,6.500904104E1,2.548457930E1,8.535755446E0,1.149999976E0,2.163000031E2,3.500000000E0,1.000000000E2
1.339379749E2,6.500903106E1,2.548456438E1,8.535758098E0,1.439999938E0,2.196999969E2,3.500000000E0,1.000000000E2
1.349189016E2,6.500901891E1,2.548454653E1,8.535761351E0,1.449999928E0,2.205000000E2,3.500000000E0,1.000000000E2
1.359067041E2,6.500900671E1,2.548452976E1,7.535764695E0,1.429999948E0,2.221000061E2,3.500000000E0,1.000000000E2
1.369245087E2,6.500899779E1,2.548451853E1,7.535767213E0,1.389999986E0,2.268000031E2,3.000000000E0,1.000000000E2
1.379403880E2,6.500898601E1,2.548450051E1,7.535770318E0,1.469999909E0,2.241000061E2,3.000000000E0,1.000000000E2
1.388834388E2,6.500897432E1,2.548448659E1,7.535773670E0,1.469999909E0,2.235000000E2,3.500000000E0,1.000000000E2
1.399182651E2,6.500896388E1,2.548447494E1,7.535776714E0,1.250000000E0,2.271000061E2,3.500000000E0,1.000000000E2
1.408942123E2,6.500895667E1,2.548446061E1,7.535778392E0,1.399999976E0,2.343000031E2,3.000000000E0,1.000000000E2
1.418815411E2,6.500894842E1,2.548444393E1,7.535780296E0,1.360000014E0,2.390000000E2,3.000000000E0,1.000000000E2
1.429137566E2,6.500893543E1,2.548443396E1,7.535784393E0,1.289999962E0,2.321999969E2,3.500000000E0,1.000000000E2
1.439124036E2,6.500891837E1,2.548443563E1,8.535790771E0,1.269999981E0,2.201000061E2,3.500000000E0,1.000000000E2
1.449007547E2,6.500890152E1,2.548444184E1,8.535797377E0,1.179999948E0,2.066999969E2,3.000000000E0,1.000000000E2
1.459151790E2,6.500888073E1,2.548444770E1,8.535805408E0,1.000000000E0,1.961000061E2,3.000000000E0,1.000000000E2
1.469285207E2,6.500886133E1,2.548445173E1,8.535812806E0,9.399999976E-1,1.826999969E2,3.000000000E0,1.000000000E2
1.479079055E2,6.500884427E1,2.548444343E1,8.535818510E0,1.049999952E0,1.903999939E2,3.000000000E0,1.000000000E2
1.488986419E2,6.500883057E1,2.548443136E1,8.535822728E0,1.139999986E0,1.956000061E2,3.000000000E0,1.000000000E2
1.498981150E2,6.500881938E1,2.548441526E1,7.535825751E0,1.149999976E0,2.078000031E2,3.000000000E0,1.000000000E2
1.509097735E2,6.500880957E1,2.548440102E1,7.535828391E0,1.039999962E0,2.113999939E2,3.000000000E0,1.000000000E2
1.519013084E2,6.500879759E1,2.548439004E1,6.535832052E0,1.110000014E0,2.133000031E2,3.500000000E0,1.000000000E2
1.528989214E2,6.500878476E1,2.548437855E1,6.535835987E0,1.029999971E0,2.163000031E2,3.500000000E0,1.000000000E2
1.538647664E2,6.500877106E1,2.548436682E1,5.535840229E0,1.000000000E0,2.188999939E2,3.000000000E0,1.000000000E2
1.548945983E2,6.500875811E1,2.548435374E1,5.535844104E0,8.999999762E-1,2.196999969E2,3.500000000E0,1.000000000E2
1.559067547E2,6.500874662E1,2.548433849E1,5.535847293E0,1.179999948E0,2.205000000E2,3.500000000E0,1.000000000E2
1.569034002E2,6.500873321E1,2.548432097E1,4.535851038E0,1.169999957E0,2.210000000E2,3.500000000E0,1.000000000E2
1.578758561E2,6.500871888E1,2.548430303E1,3.535855094E0,1.139999986E0,2.176000061E2,3.500000000E0,1.000000000E2
1.589148052E2,6.500870501E1,2.548428417E1,3.535858919E0,1.169999957E0,2.128999939E2,3.500000000E0,1.000000000E2
1.599265824E2,6.500869105E1,2.548426548E1,2.535862786E0,1.329999924E0,2.118999939E2,3.500000000E0,1.000000000E2
1.609019565E2,6.500867730E1,2.548424494E1,2.535866453E0,9.499999881E-1,2.136000061E2,3.500000000E0,1.000000000E2
1.619103330E2,6.500866503E1,2.548422818E1,1.535869835E0,1.149999976E0,2.113999939E2,4.000000000E0,1.000000000E2
1.629218213E2,6.500864923E1,2.548421024E1,5.358744319E-1,1.189999938E0,2.061000061E2,4.000000000E0,1.000000000E2
1.639291293E2,6.500863359E1,2.548419759E1,-4.641206765E-1,1.110000014E0,2.016000061E2,4.000000000E0,1.000000000E2
1.649242950E2,6.500861691E1,2.548418870E1,-1.464115146E0,1.120000005E0,1.970000000E2,4.000000000E0,1.000000000E2
1.659081539E2,6.500860023E1,2.548417345E1,-2.464110043E0,1.169999957E0,1.975000000E2,4.000000000E0,1.000000000E2
1.669198216E2,6.500858066E1,2.548415962E1,-3.464103782E0,1.139999986E0,2.003000031E2,4.000000000E0,1.000000000E2
1.679128841E2,6.500856641E1,2.548414738E1,-4.464099369E0,1.039999962E0,2.021000061E2,4.000000000E0,1.000000000E2
1.689051450E2,6.500855367E1,2.548413414E1,-4.464095578E0,9.499999881E-1,2.093999939E2,4.000000000E0,1.000000000E2
1.699142495E2,6.500854546E1,2.548411695E1,-5.464093715E0,8.599999547E-1,2.163000031E2,4.000000000E0,1.000000000E2
1.709283576E2,6.500853519E1,2.548409885E1,-5.464091159E0,8.499999642E-1,2.221999969E2,4.000000000E0,1.000000000E2
1.719186034E2,6.500852786E1,2.548408275E1,-6.464089546E0,8.100000024E-1,2.198000031E2,4.000000000E0,1.000000000E2
1.729495720E2,6.500851574E1,2.548407253E1,-7.464085782E0,1.000000000E0,1.996999969E2,4.000000000E0,1.000000000E2
1.738903329E2,6.500849965E1,2.548407043E1,-7.464080007E0,1.069999933E0,1.860000000E2,4.000000000E0,1.000000000E2
1.749258688E2,6.500848372E1,2.548406281E1,-8.464074666E0,1.059999943E0,1.848000031E2,4.000000000E0,1.000000000E2
1.759319929E2,6.500846985E1,2.548405115E1,-8.464070350E0,1.019999981E0,1.901999969E2,4.000000000E0,1.000000000E2
1.768953502E2,6.500845619E1,2.548404353E1,-9.464065841E0,1.029999971E0,1.871000061E2,4.000000000E0,1.000000000E2
1.779120629E2,6.500844332E1,2.548404110E1,-9.464061275E0,8.999999762E-1,1.863000031E2,4.000000000E0,1.000000000E2
1.789208548E2,6.500843368E1,2.548403657E1,-9.464058035E0,9.099999666E-1,1.866999969E2,4.000000000E0,1.000000000E2
1.799229499E2,6.500842044E1,2.548403087E1,-1.046405355E1,9.300000072E-1,1.886000061E2,4.000000000E0,1.000000000E2
1.809291748E2,6.500840808E1,2.548402609E1,-1.046404933E1,1.090000033E0,1.896999969E2,4.000000000E0,1.000000000E2
1.818950471E2,6.500839400E1,2.548402257E1,-1.146404439E1,1.059999943E0,1.903000031E2,4.000000000E0,1.000000000E2
1.829156424E2,6.500838096E1,2.548402123E1,-1.146403968E1,9.699999690E-1,1.870000000E2,4.500000000E0,1.000000000E2
1.839108189E2,6.500836751E1,2.548401989E1,-1.246403483E1,1.000000000E0,1.886999969E2,4.500000000E0,1.000000000E2
1.849096141E2,6.500835552E1,2.548400891E1,-1.246403116E1,1.029999971E0,1.905000000E2,4.000000000E0,1.000000000E2
1.858992679E2,6.500834538E1,2.548399785E1,-1.346402817E1,9.300000072E-1,1.888999939E2,4.000000000E0,1.000000000E2
1.869251198E2,6.500833218E1,2.548398469E1,-1.446402420E1,9.799999595E-1,1.855000000E2,4.000000000E0,1.000000000E2
1.879008841E2,6.500832388E1,2.548397698E1,-1.546402167E1,9.699999690E-1,1.846000061E2,4.000000000E0,1.000000000E2
1.889278018E2,6.500831240E1,2.548395066E1,-1.546401921E1,1.029999971E0,1.868000031E2,4.000000000E0,1.000000000E2
1.899044884E2,6.500830314E1,2.548389877E1,-1.546401929E1,1.009999990E0,1.903000031E2,4.000000000E0,1.000000000E2
1.909205488E2,6.500829601E1,2.548383733E1,-1.446402079E1,9.300000072E-1,1.881999969E2,3.500000000E0,1.000000000E2
1.919085663E2,6.500828868E1,2.548378109E1,-1.446402186E1,8.799999952E-1,1.878000031E2,4.000000000E0,1.000000000E2
1.929266122E2,6.500827975E1,2.548374211E1,-1.346402119E1,8.899999857E-1,1.991000061E2,4.000000000E0,1.000000000E2
1.939107519E2,6.500827015E1,2.548370264E1,-1.346402031E1,8.399999738E-1,2.028999939E2,3.500000000E0,1.000000000E2
1.949112963E2,6.500826219E1,2.548368026E1,-1.346401888E1,6.899999976E-1,2.040000000E2,3.500000000E0,1.000000000E2
1.959114986E2,6.500825666E1,2.548365410E1,-1.246401860E1,8.199999928E-1,2.095000000E2,3.500000000E0,1.000000000E2
1.969096875E2,6.500824865E1,2.548363793E1,-1.246401674E1,7.999999523E-1,2.123999939E2,4.000000000E0,1.000000000E2
1.979485465E2,6.500824379E1,2.548361119E1,-1.246401674E1,6.999999881E-1,2.171000061E2,3.500000000E0,1.000000000E2
1.989169848E2,6.500823663E1,2.548359401E1,-1.246401526E1,5.399999619E-1,2.176000061E2,3.500000000E0,1.000000000E2
1.998865135E2,6.500822824E1,2.548358001E1,-1.246401311E1,5.199999809E-1,2.160000000E2,4.000000000E0,1.000000000E2
2.008758356E2,6.500821886E1,2.548356869E1,-1.246401041E1,5.999999642E-1,2.196000061E2,4.000000000E0,1.000000000E2
2.018931451E2,6.500820930E1,2.548356065E1,-1.346400744E1,5.199999809E-1,2.168000031E2,3.500000000E0,1.000000000E2
2.029168000E2,6.500819975E1,2.548355394E1,-1.246400437E1,5.199999809E-1,2.113000031E2,4.000000000E0,1.000000000E2
2.039053104E2,6.500818843E1,2.548354967E1,-1.246400049E1,6.800000072E-1,1.976000061E2,4.500000000E0,1.000000000E2
2.048842347E2,6.500817636E1,2.548354967E1,-1.346399605E1,8.799999952E-1,1.858000031E2,4.000000000E0,1.000000000E2
2.058842661E2,6.500816127E1,2.548354665E1,-1.346399070E1,1.049999952E0,1.825000000E2,4.000000000E0,1.000000000E2
2.069053292E2,6.500814476E1,2.548353123E1,-1.346398565E1,1.220000029E0,1.871999969E2,4.000000000E0,1.000000000E2
2.078928058E2,6.500813005E1,2.548351983E1,-1.346398100E1,1.159999967E0,1.908999939E2,4.000000000E0,1.000000000E2
2.089149937E2,6.500811542E1,2.548350549E1,-1.346397658E1,1.090000033E0,1.940000000E2,4.000000000E0,1.000000000E2
2.099014011E2,6.500810147E1,2.548348772E1,-1.446397263E1,1.100000024E0,2.028000031E2,4.000000000E0,1.000000000E2
2.109028686E2,6.500808802E1,2.548344900E1,-1.446397027E1,1.319999933E0,2.160000000E2,4.000000000E0,1.000000000E2
2.118842484E2,6.500807611E1,2.548340466E1,-1.346396885E1,1.350000024E0,2.255000000E2,4.000000000E0,1.000000000E2
2.129113763E2,6.500806484E1,2.548337021E1,-1.346396701E1,9.699999690E-1,2.298999939E2,3.500000000E0,1.000000000E2
2.139070808E2,6.500805428E1,2.548335529E1,-1.346396412E1,8.599999547E-1,2.280000000E2,3.500000000E0,1.000000000E2
2.148916173E2,6.500803974E1,2.548333869E1,-1.346395987E1,1.179999948E0,2.171999969E2,3.500000000E0,1.000000000E2
2.158907196E2,6.500802306E1,2.548332050E1,-1.446395495E1,1.230000019E0,2.128999939E2,3.500000000E0,1.000000000E2
2.169060468E2,6.500800612E1,2.548330466E1,-1.446394977E1,1.240000010E0,2.045000000E2,3.500000000E0,1.000000000E2
2.179213400E2,6.500799087E1,2.548329360E1,-1.446394489E1,1.289999962E0,1.931999969E2,3.500000000E0,1.000000000E2
2.189220210E2,6.500797264E1,2.548328605E1,-1.546393868E1,1.409999967E0,1.898000031E2,4.000000000E0,1.000000000E2
2.199264550E2,6.500795554E1,2.548328144E1,-1.546393269E1,1.480000019E0,1.855000000E2,3.500000000E0,1.000000000E2
2.209022782E2,6.500793836E1,2.548326979E1,-1.546392714E1,1.449999928E0,1.863000031E2,3.500000000E0,1.000000000E2
2.219084553E2,6.500792314E1,2.548325487E1,-1.546392254E1,1.439999938E0,1.875000000E2,4.000000000E0,1.000000000E2
2.229219462E2,6.500790868E1,2.548322210E1,-1.646391940E1,1.399999976E0,2.028000031E2,3.500000000E0,1.000000000E2
2.239217940E2,6.500789666E1,2.548318447E1,-1.646391748E1,1.360000014E0,2.125000000E2,4.000000000E0,1.000000000E2
2.249077346E2,6.500788647E1,2.548314423E1,-1.446391642E1,6.699999571E-1,2.175000000E2,3.500000000E0,1.000000000E2
2.259228176E2,6.500787646E1,2.548311573E1,-1.446391463E1,1.000000000E0,2.093000031E2,3.500000000E0,1.000000000E2
2.269218003E2,6.500786405E1,2.548308640E1,-1.446391201E1,1.250000000E0,2.096000061E2,3.500000000E0,1.000000000E2
2.279041368E2,6.500785185E1,2.548306352E1,-1.446390905E1,1.149999976E0,2.161000061E2,3.500000000E0,1.000000000E2
2.289228479E2,6.500784087E1,2.548303317E1,-1.346390702E1,1.199999928E0,2.141999969E2,3.500000000E0,1.000000000E2
2.298765912E2,6.500782679E1,2.548300191E1,-1.346390392E1,1.279999971E0,2.128999939E2,3.500000000E0,1.000000000E2
2.309219625E2,6.500781451E1,2.548297090E1,-1.246390146E1,1.139999986E0,2.103999939E2,3.500000000E0,1.000000000E2
2.318956037E2,6.500780274E1,2.548294935E1,-1.346389856E1,1.129999995E0,2.133000031E2,3.500000000E0,1.000000000E2
2.329247524E2,6.500779083E1,2.548292773E1,-1.346389561E1,1.079999924E0,2.165000000E2,3.500000000E0,1.000000000E2
2.339259014E2,6.500777897E1,2.548291138E1,-1.246389233E1,1.100000024E0,2.181000061E2,4.000000000E0,1.000000000E2
2.349248365E2,6.500776506E1,2.548289923E1,-1.246388801E1,1.069999933E0,2.113000031E2,3.500000000E0,1.000000000E2
2.359358221E2,6.500774809E1,2.548288272E1,-1.246388286E1,1.279999971E0,2.106000061E2,3.500000000E0,1.000000000E2
2.368887994E2,6.500773170E1,2.548286336E1,-1.346387811E1,1.569999933E0,2.095000000E2,3.500000000E0,1.000000000E2
2.378872785E2,6.500771251E1,2.548284718E1,-1.346387211E1,1.500000000E0,2.090000000E2,3.000000000E0,1.000000000E2
2.389075728E2,6.500769520E1,2.548283008E1,-1.346386687E1,1.579999924E0,2.073000031E2,3.000000000E0,1.000000000E2
2.399382271E2,6.500767827E1,2.548281667E1,-1.346386152E1,1.269999981E0,2.020000000E2,3.000000000E0,1.000000000E2
2.409235724E2,6.500766414E1,2.548279488E1,-1.346385776E1,1.419999957E0,2.023000031E2,3.500000000E0,1.000000000E2
2.419330891E2,6.500764981E1,2.548276043E1,-1.346385477E1,1.620000005E0,2.053999939E2,3.500000000E0,1.000000000E2
2.429070734E2,6.500763472E1,2.548272975E1,-1.246385125E1,1.429999948E0,2.093999939E2,3.000000000E0,1.000000000E2
2.439245387E2,6.500761989E1,2.548269060E1,-1.146384838E1,1.480000019E0,2.088000031E2,3.500000000E0,1.000000000E2
2.449334835E2,6.500760501E1,2.548265004E1,-1.046384559E1,1.399999976E0,2.148999939E2,3.500000000E0,1.000000000E2
2.459075651E2,6.500759306E1,2.548261575E1,-1.046384346E1,1.379999995E0,2.303000031E2,3.000000000E0,1.000000000E2
2.469127648E2,6.500758749E1,2.548256647E1,-1.046384468E1,1.329999924E0,2.476999969E2,3.000000000E0,1.000000000E2
2.478938600E2,6.500757789E1,2.548251408E1,-1.046384462E1,1.789999962E0,2.652999878E2,3.000000000E0,1.000000000E2
2.489389059E2,6.500757328E1,2.548247016E1,-1.046384584E1,1.699999928E0,2.780000000E2,3.500000000E0,1.000000000E2
2.498970152E2,6.500756607E1,2.548242590E1,-1.046384612E1,1.779999971E0,2.952000122E2,3.000000000E0,1.000000000E2
2.509154606E2,6.500756540E1,2.548238316E1,-1.046384872E1,1.629999995E0,2.953999939E2,3.000000000E0,1.000000000E2
2.519208300E2,6.500756448E1,2.548234359E1,-1.046385101E1,1.679999948E0,2.885000000E2,2.500000000E0,1.000000000E2
2.528983867E2,6.500756406E1,2.548229691E1,-1.046385395E1,1.849999905E0,2.950000000E2,2.500000000E0,1.000000000E2
2.539413630E2,6.500756515E1,2.548225173E1,-1.046385736E1,1.839999914E0,2.976000061E2,2.500000000E0,1.000000000E2
